,accuracy (%)
GROOT,100.0
MALEKITH,75.0
SHIELD COMPUTER,69.23076923076923
FURY'S CAR,50.0
THE MANDARIN,43.75
HULK,43.18181818181818
EGO,40.35087719298245
IVAN VANKO,37.83783783783784
DR. HELEN CHO,35.294117647058826
DARCY LEWIS,31.313131313131315
JARVIS,31.11111111111111
WENDY LAWSON,30.0
KORG,29.03225806451613
HELMUT ZEMO,28.125
PETER PARKER,27.404718693284934
IAN BOOTHBY,27.27272727272727
CASSIE LANG,26.923076923076923
KAREN,26.865671641791046
LUIS,26.744186046511626
SENATOR STERN,26.47058823529412
GRANDMASTER,26.31578947368421
YON-ROGG,26.08695652173913
SECURITY GUARD,25.0
MAJOR ALLEN,25.0
ZURI,23.809523809523807
PHINEAS MASON,22.857142857142858
ODIN,22.058823529411764
JUSTIN HAMMER,21.951219512195124
RICHARD,21.73913043478261
DR. ABRAHAM ERSKINE,21.62162162162162
FLASH THOMPSON,20.833333333333336
YONDU,20.28985507246377
KRAGLIN,20.0
GARY,20.0
HEIMDALL,18.867924528301888
SENATOR BRANDT,18.181818181818183
RED SKULL,18.181818181818183
COUNCILMAN,18.181818181818183
FRIGGA,17.91044776119403
"JAMES ""JIM"" PAXTON",17.391304347826086
EBONY MAW,17.391304347826086
ALDRICH KILLIAN,17.24137931034483
VISION,17.105263157894736
DORIS TOOMES,16.666666666666664
MINN-ERVA,16.666666666666664
ADRIAN TOOMES,15.789473684210526
MORGAN STARK,15.384615384615385
SURTUR,15.384615384615385
OBADIAH STANE,15.384615384615385
N'JADAKA (KILLMONGER),15.09433962264151
FRIDAY,14.634146341463413
THOR,14.36848203939745
KURT,14.285714285714285
HERMAN SCHULTZ,13.793103448275861
THANOS,13.761467889908257
HANK PYM,13.698630136986301
MR. HARRINGTON,13.333333333333334
T'CHAKA,13.333333333333334
SAM WILSON,13.218390804597702
BUCKY BARNES,12.727272727272727
SCOTT LANG,12.654320987654321
LOKI,12.538226299694188
HELA,12.5
AYESHA,12.5
JANE FOSTER,12.446351931330472
T'CHALLA,12.209302325581394
GAMORA,12.138728323699421
MAN,11.76470588235294
TREVOR SLATTERY,11.76470588235294
ALEXANDER PIERCE,11.666666666666666
PEPPER POTTS,11.564625850340136
LIZ TOOMES,11.267605633802818
DRAX,11.009174311926607
SHURI,10.75268817204301
TONY STARK,10.744264129826526
ERIK SELVIG,10.569105691056912
MONICA RAMBEAU,10.526315789473683
HAPPY HOGAN,10.493827160493826
WANDA MAXIMOFF,10.476190476190476
NEBULA,10.38961038961039
YINSEN,9.75609756097561
MAYA HANSEN,9.523809523809524
HARLEY KEENER,9.433962264150944
MANTIS,9.375
STEVE ROGERS,9.31422722620266
STEPHEN STRANGE,9.090909090909092
ACTOR LOKI,9.090909090909092
PHIL COULSON,9.00900900900901
DAVE,8.823529411764707
JAMES RHODES,8.80503144654088
ROCKET,8.755760368663594
M'BAKU,8.695652173913043
ULTRON,8.641975308641975
CAROL DANVERS,8.547008547008547
TALOS,8.47457627118644
RAZA,8.333333333333332
COL. CHESTER PHILLIPS,8.333333333333332
NED LEEDS,8.148148148148149
CLINT BARTON,8.108108108108109
DARREN CROSS,7.547169811320755
PETER QUILL,7.246376811594203
SUPREME INTELLIGENCE,7.142857142857142
NICK FURY,7.103825136612022
VOLSTAGG,7.042253521126761
FANDRAL,7.017543859649122
MARIA RAMBEAU,6.8181818181818175
BROCK RUMLOW,6.666666666666667
SKURGE,6.666666666666667
SIF,6.557377049180328
HOPE VAN DYNE,6.521739130434782
EVERETT ROSS,6.349206349206349
BRUCE BANNER,6.33245382585752
ANCIENT ONE,6.25
CHRISTINE EVERHART,6.25
TASERFACE,5.88235294117647
N'JOBU,5.555555555555555
VALKYRIE,5.555555555555555
SHARON CARTER,5.263157894736842
ERIC SAVIN,4.761904761904762
RAMONDA,4.761904761904762
JASPER SITWELL,4.761904761904762
NATASHA ROMANOFF,4.618473895582329
NAKIA,4.225352112676056
SECRETARY ROSS,4.166666666666666
HOWARD STARK,3.278688524590164
MARIA HILL,2.5
ULYSSES KLAUE,2.5
DR. ARNIM ZOLA,2.3255813953488373
MAY PARKER,2.2222222222222223
AARON DAVIS,0.0
PIETRO MAXIMOFF,0.0
STAN LEE,0.0
ACTOR THOR,0.0
PRESIDENT ELLIS,0.0
DIRECTOR,0.0
BAD NEBULA,0.0
SHIELD AGENT,0.0
LAURA BARTON,0.0
"MICHELLE ""MJ"" JONES",0.0
W'KABI,0.0
EITRI,0.0
MAGGIE LANG,0.0
PEGGY CARTER,0.0
HOGUN,0.0
OKOYE,0.0
JACKSON BRICE,0.0
BARON WOLFGANG VON STRUCKER,0.0
LAUFEY,0.0
WONG,0.0
mean,14.050856816448647
